Stress,Strain
0.348,0.074637
0.487,0.17408
0.614,0.27355
0.726,0.37311
0.834,0.47273
0.938,0.57239
1.04,0.67209
1.14,0.7718
1.25,0.87152
1.35,0.97125
1.46,1.071
1.56,1.1707
1.67,1.2705
1.78,1.3702
1.9,1.47
2.02,1.5697
2.15,1.6695
2.28,1.7693
2.42,1.869
2.57,1.9688
2.73,2.0685
2.89,2.1683
3.07,2.2681
3.25,2.3678
3.44,2.4675
3.64,2.5673
3.87,2.667
4.11,2.7667
4.37,2.8665
4.64,2.9662
4.94,3.0659
5.26,3.1656
5.59,3.2652
5.96,3.3649
6.35,3.4646
6.77,3.5642
7.21,3.6639
7.7,3.7636
8.2,3.8632
8.75,3.9629
9.35,4.0625
9.98,4.1621
10.7,4.2617
11.4,4.3614
12.1,4.461
13,4.5606
13.8,4.6602
14.7,4.7598
15.7,4.8594
16.7,4.959
17.8,5.0587
18.9,5.1583
20,5.2579
21.2,5.3575
22.5,5.4572
23.8,5.5568
25.2,5.6564
26.6,5.7561
28.2,5.8557
29.7,5.9553
31.2,6.055
32.8,6.1546
34.5,6.2546
36.1,6.3546
37.8,6.4546
39.5,6.5546
41.3,6.6546
43.1,6.7546
44.9,6.8546
46.8,6.9546
48.7,7.0546
50.5,7.1546
52.4,7.2546
54.3,7.3546
56.3,7.4546
58.1,7.5546
60.1,7.6546
62,7.7546
63.9,7.8547
65.9,7.9547
67.8,8.0547
69.8,8.1547
71.7,8.2547
73.6,8.3547
75.6,8.4547
77.5,8.5547
79.4,8.6547
81.3,8.7547
83.1,8.8547
85,8.9547
86.9,9.0547
88.7,9.1547
90.5,9.2547
92.4,9.3547
94.2,9.4547
95.9,9.5547
97.7,9.6547
99.4,9.7547
101,9.8547
103,9.9547
104,10.055
106,10.155
108,10.255
109,10.355
111,10.455
112,10.555
114,10.655
116,10.755
117,10.855
118,10.955
120,11.055
121,11.155
123,11.255
124,11.355
125,11.455
127,11.555
128,11.655
129,11.755
130,11.855
132,11.955
133,12.055
134,12.155
135,12.255
136,12.355
137,12.455
138,12.555
139,12.655
140,12.755
141,12.855
142,12.955
143,13.055
144,13.155
145,13.255
146,13.355
147,13.455
147,13.555
148,13.655
149,13.755
150,13.855
150,13.955
151,14.055
151,14.155
152,14.255
152,14.355
153,14.455
153,14.555
154,14.655
154,14.755
155,14.855
155,14.955
